positive_ratings,log_pos_ratings,price,log_price,achievements,log_achievements,required_age,english,release_year,windows,mac,linux,n_categories,n_genres,n_tags,popular
1365,7.2196420401307355,0,0,0,0,0,1,2011,TRUE,FALSE,FALSE,3,3,3,TRUE
100,4.61512051684126,5.79,1.9154509415706047,0,0,0,1,2007,TRUE,FALSE,FALSE,4,2,3,FALSE
474,6.163314804034641,6.99,2.0781907597781832,0,0,0,1,2007,TRUE,FALSE,FALSE,3,3,3,FALSE
569,6.345636360828596,9.99,2.39698576841553,0,0,0,1,2007,TRUE,FALSE,FALSE,4,2,3,FALSE
1462,7.288244401020124,15.99,2.8326249356838407,0,0,0,1,2007,TRUE,FALSE,FALSE,2,1,3,TRUE
1561,7.3537223303996315,3.99,1.6074359097634274,0,0,0,1,2007,TRUE,FALSE,FALSE,3,1,3,TRUE
404,6.003887067106539,3.99,1.6074359097634274,0,0,0,1,2007,TRUE,FALSE,FALSE,3,1,3,FALSE
1333,7.195937226475569,3.99,1.6074359097634274,0,0,0,1,2007,TRUE,FALSE,FALSE,3,1,3,TRUE
421,6.045005314036012,3.99,1.6074359097634274,0,0,0,1,2007,TRUE,FALSE,FALSE,3,1,3,FALSE
1514,7.323170717943469,8.29,2.2289385528257473,0,0,16,1,2007,TRUE,FALSE,FALSE,1,1,3,TRUE
5864,8.676757761087575,9.29,2.331172549845958,0,0,18,1,2007,TRUE,FALSE,FALSE,1,1,3,TRUE
316,5.75890177387728,4.99,1.7900914121273581,0,0,0,1,2007,TRUE,FALSE,FALSE,1,1,3,FALSE
1732,7.457609289715606,4.99,1.7900914121273581,0,0,16,1,2007,TRUE,FALSE,FALSE,1,1,3,TRUE
1186,7.079184394609668,7.19,2.102913897864978,0,0,18,1,2007,TRUE,FALSE,FALSE,1,1,3,TRUE
6242,8.739216115061744,4.99,1.7900914121273581,0,0,16,1,2007,TRUE,FALSE,FALSE,2,1,3,TRUE
649,6.476972362889683,4.99,1.7900914121273581,0,0,16,1,2007,TRUE,FALSE,FALSE,1,1,3,FALSE
1135,7.035268599281097,6.99,2.0781907597781832,0,0,0,1,2007,TRUE,FALSE,FALSE,1,1,3,TRUE
1656,7.4127640174265625,4.99,1.7900914121273581,0,0,16,1,2007,TRUE,FALSE,FALSE,2,2,3,TRUE
175,5.170483995038151,3.99,1.6074359097634274,0,0,0,1,2007,TRUE,FALSE,FALSE,2,1,3,FALSE
248,5.517452896464707,6.99,2.0781907597781832,0,0,0,1,2007,TRUE,FALSE,FALSE,3,1,3,FALSE
809,6.697034247666484,8.99,2.301584592660462,0,0,0,1,2007,TRUE,FALSE,FALSE,2,1,3,TRUE
963,6.871091294610546,25.99,3.2954664270299134,0,0,0,1,2008,TRUE,FALSE,FALSE,3,1,3,TRUE
236,5.4680601411351315,6.99,2.0781907597781832,0,0,0,1,2007,TRUE,FALSE,FALSE,1,1,3,FALSE
86,4.465908118654584,6.99,2.0781907597781832,0,0,0,1,2007,TRUE,FALSE,FALSE,1,1,3,FALSE
69,4.248495242049359,6.99,2.0781907597781832,0,0,0,1,2007,TRUE,FALSE,FALSE,2,1,3,FALSE
8,2.1972245773362196,6.99,2.0781907597781832,0,0,0,1,2010,TRUE,FALSE,FALSE,1,2,3,FALSE
1566,7.356918242356021,6.99,2.0781907597781832,0,0,0,1,2009,TRUE,TRUE,TRUE,3,5,3,TRUE
3054,8.024534871605695,14.99,2.771963526845863,61,4.127134385045092,0,1,2011,TRUE,TRUE,FALSE,11,3,3,TRUE
153,5.0369526024136295,6.99,2.0781907597781832,0,0,0,1,2011,TRUE,TRUE,FALSE,3,1,3,FALSE
1114,7.016609683894219,5.99,1.944480556245719,0,0,0,1,2007,TRUE,TRUE,FALSE,2,1,3,TRUE
355,5.87493073085203,5.99,1.944480556245719,0,0,0,1,2007,TRUE,FALSE,FALSE,2,1,3,FALSE
420,6.042632833682381,2.99,1.3837912309017721,0,0,0,1,2007,TRUE,FALSE,FALSE,1,1,3,FALSE
385,5.955837369464831,2.99,1.3837912309017721,0,0,0,1,2007,TRUE,FALSE,FALSE,1,1,3,FALSE
417,6.035481432524756,2.99,1.3837912309017721,0,0,0,1,2008,TRUE,FALSE,FALSE,1,1,3,FALSE
